department,n_years,temp_avg_mean,temp_avg_slope_yr,temp_avg_slope_decade,temp_avg_pvalue,temp_avg_r2,temp_max_mean,temp_max_slope_yr,temp_max_slope_decade,temp_max_pvalue,temp_max_r2,precip_mean,precip_slope_yr,precip_slope_decade,precip_pvalue,precip_r2,extreme_heat_mean,extreme_heat_slope_yr,extreme_heat_slope_decade,extreme_heat_pvalue,extreme_heat_r2,temp_avg_sig,temp_max_sig,precip_sig,extreme_heat_sig
Herault,33,13.962518,0.049767318893880204,0.497673188938802,0.0011249517073307295,0.2936525254449812,18.711609,0.05246946582182059,0.5246946582182059,0.006480644196917265,0.21564108515820568,0.016352551,1.784224053197857e-05,0.0001784224053197857,0.8341898085948152,0.0014354776271324754,0.3939393939393939,0.0287433155080209,0.287433155080209,0.10456482676274498,0.08273177425128253,**,**,,
Haute_Marne,33,12.04273,0.04970276228246745,0.4970276228246745,0.00523801424696134,0.2254419985722712,16.876196,0.05710204049227601,0.5710204049227601,0.009442378441986256,0.19811893091189925,0.013864883,-0.000101397,-0.001013966,0.09314168836856417,0.08826815040272307,0.696969696969697,0.028409090909090738,0.2840909090909074,0.33652933544696373,0.029823166167664228,**,**,?,
Hautes_pyrenees,33,9.111831,0.04966857503442047,0.4966857503442047,0.0028824568491052117,0.2524892902483191,13.453567,0.054563742270442396,0.545637422704424,0.00989572635619536,0.19591937402222015,0.03337745,-2.34E-06,-2.34E-05,0.9833170383246144,1.433402637474046e-05,0,0,0,,,**,**,,
Yonne,33,12.847927,0.04955674205871705,0.4955674205871705,0.005449926282258271,0.2236222759915265,17.75452,0.055151965847626064,0.5515196584762606,0.01308030522739863,0.1827629211321009,0.01920836,-9.13E-05,-0.000913399,0.23187105122257373,0.04577381444989692,1.6666666666666667,0.042446524064168906,0.42446524064168906,0.3791687676482407,0.025034250260756896,**,*,,
Aube,33,12.944196,0.04954392897253893,0.4954392897253893,0.005534902965391102,0.22291158968366953,17.90058,0.056471701611808416,0.5647170161180841,0.011084258521954887,0.19058512322326582,0.007035814,-4.64E-05,-0.000464336,0.12264122525483004,0.07514740722494329,1.878787878787879,0.05748663101604035,0.5748663101604036,0.22909578067211017,0.04630912824965416,**,*,,
Indre,33,13.217611,0.0495075959572804,0.49507595957280404,0.006559151732790863,0.2150842775637828,18.24106,0.05373879549974923,0.5373879549974923,0.021966818516014695,0.15803394276804417,0.01511817,-6.52E-05,-0.00065159,0.3130173182933907,0.0328172506317842,2.878787878787879,0.04612299465240349,0.46122994652403493,0.47836477974966596,0.01634075911366628,**,*,,
Savoie,33,5.1325192,0.04930356870041738,0.49303568700417383,0.001483525569260702,0.28173729470630404,9.513873,0.05137660446013935,0.5137660446013935,0.005198339225137619,0.22579053412485695,0.0277207,-3.80E-06,-3.80E-05,0.9661880736858668,5.8904546314186845e-05,0,0,0,,,**,**,,
Meurthe_et_Moselle,33,12.231777,0.049216670785994815,0.49216670785994815,0.009989774326983294,0.19547528671648906,17.122831,0.056080271215999095,0.560802712159991,0.015208871091873591,0.17560632411748578,0.011463812,-9.10E-05,-0.000910085,0.1103458587122047,0.08016555238070766,1.0909090909090908,0.02406417112299494,0.2406417112299494,0.5136030470342792,0.013891270794032073,**,*,,
Ardeche,33,10.26823,0.04910100335105743,0.4910100335105743,0.0011279468629844087,0.29353878073998074,14.934266,0.05314635051125359,0.5314635051125359,0.006078241067331585,0.21860103710153622,0.023561718,-2.05E-05,-0.000204964,0.8374385457423894,0.0013790285068273622,0,0,0,,,**,**,,
Isere,33,9.518169,0.04903805829624339,0.4903805829624339,0.0019925897987615993,0.26885769530887915,14.311194,0.05407327509181288,0.5407327509181288,0.005797558785959436,0.22077936171993184,0.02065542,-1.45E-05,-0.000144506,0.8525207239580467,0.001132318493491713,0,0,0,,,**,**,,
Doubs,33,10.92247,0.048932743263753756,0.48932743263753753,0.0035957636757779454,0.24255663980455178,15.581741,0.055962785361284025,0.5596278536128403,0.006880521067606938,0.2128699021739744,0.015568305,-8.38E-05,-0.000837606,0.12464916400639364,0.07437857761817657,0,0,0,,,**,**,,
Gers,33,14.422678,0.048932203315794565,0.48932203315794565,0.007612169626478036,0.2081786826148082,19.611933,0.05439644701340456,0.5439644701340456,0.024345198884426406,0.1530937491828176,0.014850884,-1.73E-05,-0.000173479,0.8034875660216305,0.0020278073979149713,4.7272727272727275,0.11664438502673487,1.1664438502673486,0.2167736984105639,0.04877971613482046,**,*,,
Indre_et_Loire,33,13.339937,0.048924571052590626,0.48924571052590626,0.007917393945510047,0.20634889647319654,18.262379,0.05156121438837164,0.5156121438837165,0.028121577923156924,0.14614776354449666,0.007613963,-2.42E-05,-0.000242086,0.509850708867535,0.014138661601416747,3.3333333333333335,0.058823529411761,0.58823529411761,0.425894811603585,0.020568757304246565,**,*,,
Mayenne,33,12.228261,0.04889661328677685,0.4889661328677685,0.007597683835447285,0.20826727070993156,16.827057,0.05352913504615661,0.5352913504615662,0.024132708602208085,0.15351542789351225,0.008925094,-3.27E-05,-0.000326901,0.39043126534593053,0.023889528157934103,1.9393939393939394,0.03409090909090653,0.3409090909090653,0.46660273198700475,0.017224557190032797,**,*,,
Lozere,33,9.154194,0.04885046399213307,0.48850463992133064,0.0009937752706891114,0.2989398590644221,13.703767,0.052558285667295555,0.5255828566729556,0.00622833423252731,0.21747555398275953,0.018207235,5.728681883056753e-06,5.728681883056753e-05,0.9384348265508349,0.00019554765683860165,0,0,0,,,***,**,,
Vienne,33,13.253177,0.048748284100209906,0.48748284100209904,0.008609672812486388,0.20243879775362328,18.155565,0.05192033173566049,0.5192033173566049,0.030503007710592084,0.14222497268942857,0.01254268,-3.11E-05,-0.000310806,0.5820805491174549,0.009879996852401263,3.3636363636363638,0.05581550802138679,0.5581550802138678,0.44940152177810944,0.01858156727714655,**,*,,
Lot_et_Garonne,33,14.63081,0.04855514465168712,0.4855514465168712,0.009976787610928023,0.19553636796952445,19.757568,0.0522832303123663,0.522832303123663,0.027699473174624477,0.1468770610461314,0.008091589,-4.90E-06,-4.90E-05,0.9000700970619875,0.0005167975291190396,4.9393939393939394,0.1136363636363591,1.136363636363591,0.21010441702778662,0.05018499567031365,**,*,,
Correze,33,11.023881,0.04846505685285981,0.4846505685285981,0.003461674243028059,0.24427062232003893,15.705154,0.054308771449612964,0.5430877144961297,0.011376551025534512,0.1893582245140384,0.028846692,-0.000132433,-0.001324329,0.23216974893876366,0.04571664254381003,0.06060606060606061,-0.006684492,-0.06684492,0.3009500621343403,0.03446691176470673,**,*,,
Loire,33,10.748201,0.048428024837676456,0.48428024837676453,0.002435713020090067,0.2599892901521249,15.506081,0.052364550491066565,0.5236455049106656,0.011324887694278038,0.18957284514815054,0.005379388,-2.15E-05,-0.000214945,0.31179264164618936,0.03298100129369497,0.15151515151515152,-0.011029412,-0.110294118,0.40570498257019416,0.022408636962247264,**,*,,
Haute_Vienne,33,12.08933,0.0482883797609858,0.482883797609858,0.005765832998288073,0.22103192507505787,16.870035,0.05356390240358026,0.5356390240358027,0.019262594029879385,0.16433098280983927,0.01853703,-8.41E-05,-0.000841454,0.23966695883269906,0.04430903547965159,0.7575757575757576,0.00835561497326246,0.0835561497326246,0.7829363878189466,0.002484997243309861,**,*,,
Loir_et_Cher,33,13.158986,0.0482809027248513,0.482809027248513,0.008347457465327304,0.20388290235714246,18.04052,0.051042140805146026,0.5104214080514603,0.027440171518144898,0.1473305135638645,0.007497934,-1.86E-05,-0.000185771,0.6038809222540618,0.008785532521766504,2.484848484848485,0.0347593582887671,0.34759358288767095,0.5610937605331614,0.011013120166825985,**,*,,
Cantal,33,9.073748,0.04812865923432638,0.4812865923432638,0.0018896256143981405,0.27118720689026277,13.715745,0.052462409205614007,0.52462409205614,0.009945894253166542,0.19568198002797121,0.024257036,-8.34E-05,-0.000833777,0.34997578205093194,0.02822973262775441,0,0,0,,,**,**,,
Loiret,33,13.175681,0.04809986078802787,0.4809986078802787,0.008859922078414056,0.20109963067304293,18.091482,0.05166726284485954,0.5166726284485954,0.023272120569506696,0.15526129701963431,0.013882579,-3.29E-05,-0.00032851,0.5821887375477154,0.009874361557930533,2.303030303030303,0.03709893048128021,0.3709893048128021,0.5110993358492184,0.014055997347222515,**,*,,
Haute_Loire,33,9.03747,0.04792521917883618,0.4792521917883618,0.0018535066048896178,0.2720331433171552,13.714236,0.051187707141120156,0.5118770714112015,0.010326240325932927,0.19391894676732535,0.013663029,-2.74E-05,-0.000274177,0.5979208694886806,0.009076664798573941,0,0,0,,,**,*,,
Marne,33,12.716934,0.04789179850389519,0.4789179850389519,0.007528608962433494,0.20869194975419614,17.637257,0.0538941609030726,0.538941609030726,0.01601849009767301,0.1731373918779111,0.01787952,-0.000115282,-0.001152823,0.08340185119355378,0.0935747839060872,2.090909090909091,0.04211229946523795,0.4211229946523795,0.4471177566471666,0.018767732173256002,**,*,?,
Hautes_Alpes,33,3.0322762,0.047766294031537565,0.47766294031537565,0.0016308350111842642,0.27762374049886596,7.3917365,0.04970688472457027,0.4970688472457027,0.004848436378495379,0.22897984823883288,0.01837778,-7.29E-07,-7.29E-06,0.9912852065853323,3.911040667770038e-06,0,0,0,,,**,**,,
Puy_de_Dome,33,10.300628,0.04771843281659101,0.47718432816591005,0.003113044148205667,0.2490431335228246,15.099965,0.05224472379939312,0.5224472379939312,0.01271838200135621,0.18409129088306675,0.011263832,-4.97E-05,-0.000496608,0.2721714293352614,0.03875504875032665,0.06060606060606061,-0.006684492,-0.06684492,0.3009500621343403,0.03446691176470673,**,*,,
Sarthe,33,12.7409525,0.047714897974288246,0.47714897974288245,0.009798960647987277,0.19638057149536225,17.51586,0.05140913106540787,0.5140913106540788,0.03016331580878625,0.14276568337716622,0.016097438,-3.44E-05,-0.000343736,0.6525647402161219,0.0066223309836729305,2.303030303030303,0.03074866310160127,0.3074866310160127,0.6021638128170507,0.008868795475629132,**,*,,
Meuse,33,12.096852,0.047315724074520935,0.4731572407452094,0.009617332730630604,0.1972582392350235,16.90114,0.05439731877117768,0.5439731877117768,0.015504119511901551,0.17469147326753043,0.017160386,-0.000132563,-0.001325629,0.06828252942908608,0.10322227102321524,0.8787878787878788,0.023395721925133804,0.23395721925133806,0.45797461681363194,0.017895403194389647,**,*,?,
Deux_Sevres,33,13.271632,0.04717836214259211,0.4717836214259211,0.010363011846950373,0.19375183973186016,18.040056,0.048881432589361465,0.4888143258936146,0.037448555899356153,0.13230692126991062,0.013400702,1.1427706184707585e-06,1.1427706184707584e-05,0.984530368817317,1.2324615489056612e-05,3.303030303030303,0.05581550802138674,0.5581550802138674,0.3981491000522507,0.02313124264595323,*,*,,
Nord,33,11.895329,0.04695155371956526,0.46951553719565264,0.014519132985351344,0.17781264431983534,16.406712,0.053372004771613746,0.5337200477161375,0.018770782235770084,0.16556847113676043,0.016501315,-4.73E-05,-0.000473149,0.38319002497285626,0.024620204977347848,1.3333333333333333,0.020721925133687938,0.20721925133687938,0.6632405640221128,0.006196588544801096,*,*,,
Maine_et_Loire,33,13.113267,0.0469457459322257,0.469457459322257,0.012518938272640999,0.18483906056822896,17.955153,0.0502781542864697,0.502781542864697,0.038541368207759906,0.13091463692347627,0.01958664,-1.19E-05,-0.000118948,0.8955378728322207,0.0005650010268907213,3.4242424242424243,0.06383689839571818,0.6383689839571818,0.3466384990669439,0.028617636599447716,*,*,,
Aisne,33,12.199132,0.04691962762312344,0.4691962762312344,0.009637510481040798,0.19715994873212805,16.96256,0.05299955797705301,0.5299955797705301,0.01720688217162577,0.16972495988761938,0.011778217,-6.19E-05,-0.00061937,0.11389565126341238,0.07865863897655345,1.5151515151515151,0.03241978609625372,0.3241978609625372,0.49358165348789707,0.015247683704690429,**,*,,
Yvelines,33,12.799916,0.046907297748931584,0.46907297748931587,0.012448536658086748,0.1851057759059599,17.49308,0.049995119877676034,0.4999511987767603,0.029905385267890747,0.1431802733791565,0.00399714,7.895822512284804e-07,7.895822512284803e-06,0.9621376038227862,7.387338623965345e-05,2.0303030303030303,0.023061497326200137,0.23061497326200137,0.6570086411745311,0.006443071093468089,*,*,,
