department,n_years,mean_yield,tech_trend_yr,tech_trend_pval,coef_temp,coef_temp_pval,coef_precip,coef_precip_pval,coef_extreme_heat,coef_extreme_heat_pval,r2,adj_r2,tech_trend_sig,coef_temp_sig,coef_precip_sig,coef_extreme_heat_sig
Finistere,33,5.713985987022367,0.08828283350388652,7.187221540558116e-07,-0.051414104,0.776402527839627,-31.12373379,0.6918875955846013,0.159474369062252,0.6130092280470401,0.668615035367989,0.6212743261348447,***,,,
Oise,33,7.194765597863709,0.03394480596499121,0.010327401899714496,-0.048068675,0.7738988153517771,-29.52475355,0.425535201402942,0.028476872729226763,0.5203501879915778,0.2922752925567965,0.19117176292205318,*,,,
Eure_et_Loir,33,7.065704680525599,0.05684122646421758,0.0009435558192596491,-0.041139196,0.8501998374599025,1.6859985029737992,0.968778011213056,0.03013472190349385,0.7128632551908769,0.4074296164748338,0.32277670454266716,***,,,
Meuse,33,5.724695454545454,0.05551615717570254,0.00044309137703728454,-0.040752049,0.8371468964441681,-15.26445348,0.7096991192971057,0.040551133156560705,0.648452602595389,0.43244140696011957,0.3513616079544224,***,,,
Indre_et_Loire,33,5.379312121212122,0.07654570797460303,6.3441330053267855e-06,-0.032386572,0.8736264685307454,-19.27675028,0.800585140608544,0.003936131219183377,0.9212981004485227,0.6067948141638604,0.5506226447586976,***,,,
Indre,33,5.617742211400706,0.06598948744457309,4.859719497012928e-05,-0.020383485,0.9228535588515869,31.629995864150374,0.469114941307325,0.03868191719671953,0.40577362210602563,0.5456522533553189,0.4807454324060787,***,,,
Loir_et_Cher,33,5.963014848484849,0.07395043151007101,8.491305482279325e-06,-0.01841751,0.9283883877379878,-24.252234,0.7475956611101924,0.02315520714911441,0.6390573111795018,0.6235115091182051,0.5697274389922344,***,,,
Cotes_d_Armor,33,5.894778063318876,0.07556856164257096,3.48389137159131e-07,-0.015208302,0.9203047191490235,-12.24379136,0.6390165395379108,-0.106371195,0.64031921437864,0.6738846723678722,0.6272967684204254,***,,,
Vienne,33,5.3178712121212115,0.06742512978571977,1.1980272064606387e-05,-0.01365397,0.93981688845404,30.309083904003113,0.5041019236461775,0.018363598513716453,0.6070603135348918,0.5901173505867701,0.5315626863848801,***,,,
Tarn,33,4.550847395457825,0.02269909452401524,0.13844531118792458,-0.012896108,0.955021414654705,24.781398352249045,0.6289541969884468,-0.004760189,0.9607538443471275,0.1551247066290098,0.03442823614743984,,,,
Loiret,33,5.990805151515151,0.06032835304353113,1.1241842240908138e-05,-0.011292205,0.948170918910735,-2.210060844,0.9539882602919758,0.01596833795796708,0.7178282925918696,0.608446126492596,0.5525098588486812,***,,,
Allier,33,4.794422424242424,0.07080855073481487,1.8157054776000677e-06,-0.00336981,0.9836723175348433,70.56800474177797,0.12700520347926447,0.0917411037626653,0.11838131698588629,0.6549288040892035,0.6056329189590898,***,,,
Ardennes,33,6.417703030303031,0.02885485203035832,0.0067658681052025155,-0.000654252,0.9963381095647048,-51.23179129,0.49165761990564183,0.017879017813732027,0.7847492905611257,0.33875084900188723,0.2442866845735855,**,,,
Alpes_Maritimes,33,3.1725545454545454,0.06890156418729071,0.0009082873073143565,0.00011767174391896872,0.9995963147570617,-3.331372063,0.9377320630846366,0,,0.4439215748812849,0.3863962205586592,***,,,
Cher,33,5.675224848484849,0.058388698779556776,0.00010027352118592378,0.013196913579168962,0.948134513826337,54.03265120652307,0.21846722999569534,0.07429857066593731,0.15313595602657618,0.5510132607824845,0.4868722980371252,***,,,
Eure,33,7.050937025426174,0.05404958934483479,0.00035300446768282825,0.01386622934768797,0.9345738015147287,14.516922674055643,0.7851161718687488,0.05290528241819718,0.5023468293597482,0.45662043744561787,0.37899478565213474,***,,,
Tarn_et_Garonne,33,4.354591729702636,0.006841282002244403,0.6757254663256813,0.014777239797350185,0.9529274483431935,7.885801681443198,0.9325732243875313,0.01380722375016565,0.7045458130867015,0.029246823082771045,-0.109432202,,,,
Bouches_du_Rhone,33,3.1923890749601274,0.004054110848216364,0.7053133064391979,0.01626992179955372,0.9031475605556261,83.88186340628718,0.1268103452112329,-0.018170672,0.4354024522234462,0.181377391115619,0.06443130413213605,,,,
Territoire_de_Belfort,33,5.25538254172098,0.07722540331376757,0.00010494542866697031,0.022651421487564518,0.9268039580247431,-64.59896022,0.701209055603703,0.26762645408678903,0.23741651486308013,0.5539360772463271,0.4902126597100881,***,,,
Somme,33,7.38196678789537,0.04544344188919925,3.91090381847962e-05,0.029859017710716577,0.7708958371669544,-7.626636171,0.8513934694666403,-0.00396314,0.9575485339625185,0.5314940668166312,0.4645646477904357,***,,,
Loire,33,4.548261893920187,0.07347189089181948,2.7145925514920147e-05,0.031967002420863075,0.8664341599143197,6.367624018548524,0.9630375014745073,0.056634783312270065,0.7544892658323858,0.57961865841596,0.5195641810468115,***,,,
Ille_et_Vilaine,33,5.63677257315523,0.09942375040397455,4.260870411255934e-09,0.032931847418084186,0.8451454206977405,-16.44735729,0.7289661986386438,-0.068054636,0.2530511885475651,0.7692100898917502,0.7362401027334289,***,,,
Alpes_de_Haute_Provence,33,3.680187272727273,0.008579139904767304,0.4272878299241105,0.03316267705988781,0.7879374062542305,65.71117025033662,0.0244459482502904,0,,0.20385629013780515,0.12149659601412988,,,*,
Meurthe_et_Moselle,33,5.724838484848485,0.042320219457501404,0.007798590779314733,0.03553965013553532,0.848863103162204,-12.93955516,0.8127190281276656,0.04349152144067477,0.5625033894702631,0.3236112991877731,0.22698434192888362,**,,,
Aisne,33,6.9663038827527615,0.020762729701826462,0.052530101109019865,0.038039620723521045,0.7910016137761938,-7.423008555,0.8919261304486898,-0.006038214,0.8882168001293289,0.18977641180906046,0.07403018492464053,?,,,
Pyrenees_Atlantiques,33,4.563795151515151,0.0458878959870918,0.00034429908100998453,0.03837110693084012,0.7926378201431657,18.012421816313452,0.5795420486448206,0.2349636809949387,0.15930687024541415,0.5794112503981166,0.5193271433121333,***,,,
Cantal,33,3.990554929815049,0.0870839529375081,1.562394756521639e-07,0.039836671448896,0.8148546587208673,-8.211149759,0.7648104940484894,0,,0.7125012047405853,0.6827599500585769,***,,,
Moselle,33,5.654754545454545,0.051793593044409406,0.002677343572827228,0.03988845480906328,0.8455080720682095,-30.36491627,0.6553764468710046,0.011354327037239683,0.8878383159098794,0.38175910623139375,0.2934389785501643,**,,,
